category,year,brand,purchase_count,product_count,avg_price,avg_rating,compact_share,dual_basket_share,oven_style_share,rotisserie_share,window_share,market_purchases,brand_share,log_brand_share
air_fryers,2019,chefman,1146,10,72.96369506726458,4.434118673647469,1.0,0.0,0.7809773123909249,0.2434554973821989,0.1841186736474694,15076,0.07601485805253383,-2.5768264571123414
air_fryers,2019,cosori,11,2,159.99,4.581818181818182,1.0,0.0,0.0909090909090909,0.0909090909090909,0.0,15076,0.0007296365083576546,-7.222964081588655
air_fryers,2019,cuisinart,1616,22,229.4652743902439,4.481311881188119,0.9938118811881188,0.0,0.8898514851485149,0.0,0.0,15076,0.10719023613690634,-2.2331501153059854
air_fryers,2019,dash,3011,19,55.17633256351039,4.390767186981069,1.0,0.0,0.973430753902358,0.0,0.0,15076,0.1997214115149907,-1.6108318259052923
air_fryers,2019,gowise usa,4405,45,83.57555088088351,4.552258796821793,0.9997729852440408,0.0,0.1293984108967082,0.1284903518728717,0.0,15076,0.2921862563014062,-1.230363816016746
air_fryers,2019,instant_pot,238,13,78.01994535519125,4.364285714285715,0.542016806722689,0.0,0.5504201680672269,0.0,0.0,15076,0.01578668081719289,-4.148588680715552
air_fryers,2019,ninja,2904,18,112.15837398373984,4.778650137741047,0.9944903581267218,0.0,0.0,0.0,0.0,15076,0.1926240382064208,-1.6470149784423394
air_fryers,2019,nuwave,484,15,151.09993650793652,4.3219008264462815,0.993801652892562,0.0,0.5619834710743802,0.1115702479338843,0.0,15076,0.0321040063677368,-3.4387744476703945
air_fryers,2019,oster,506,5,191.94368811881188,4.3808300395256925,1.0,0.0,0.7727272727272727,0.0,0.0,15076,0.03356327938445211,-3.3943226850995605
air_fryers,2019,ultrean,755,4,80.62467492260062,4.618013245033113,1.0,0.0,0.8357615894039735,0.0,0.0,15076,0.05007959671000265,-2.9941416051380014
air_fryers,2020,chefman,1761,14,97.42624571428571,4.355763770584895,1.0,0.0,0.6774559909142532,0.5110732538330494,0.3214082907438955,30291,0.05813608002376944,-2.8449688091762244
air_fryers,2020,cosori,260,5,115.64944881889764,4.661923076923077,0.9961538461538462,0.0,0.0153846153846153,0.0153846153846153,0.0,30291,0.00858340761282229,-4.757924286656903
air_fryers,2020,cuisinart,3094,35,227.91495210329023,4.460568842921784,0.9993535875888816,0.0,0.8859082094376212,0.0,0.0,30291,0.10214255059258526,-2.2813858865394194
air_fryers,2020,dash,3074,33,58.38621890547264,4.4899479505530255,0.9990240728692258,0.0,0.9661678594664932,0.0,0.0,30291,0.101482288468522,-2.2878709935738897
air_fryers,2020,gowise usa,5164,41,86.95289777411377,4.579318357862122,0.9996127033307514,0.0,0.1888071262587141,0.1886134779240898,0.0,30291,0.17047968043313194,-1.7691391657058977
air_fryers,2020,instant_pot,4336,26,120.0477818853974,4.595664206642066,0.922509225092251,0.0,0.4940036900369003,0.1086254612546125,0.0,30291,0.14314482849691326,-1.9438983745529488
air_fryers,2020,ninja,5020,33,140.44559467918623,4.753326693227092,0.9844621513944224,0.0,0.0328685258964143,0.0,0.0,30291,0.16572579313987654,-1.7974207049866557
air_fryers,2020,nuwave,2404,19,119.90278536800352,4.446880199667221,0.9970881863560732,0.0,0.3198835274542429,0.0158069883527454,0.0,30291,0.07936350731240302,-2.5337166220173324
air_fryers,2020,oster,436,9,185.5961757105943,4.385321100917431,1.0,0.0,0.8784403669724771,0.0,0.0,30291,0.014393714304578918,-4.240963674323396
air_fryers,2020,ultrean,4742,5,76.8403198294243,4.680493462673978,1.0,0.0,0.8401518346689161,0.0,0.0,30291,0.15654814961539731,-1.85439165104708
air_fryers,2021,chefman,2600,16,92.08435303205871,4.4592307692307696,0.9980769230769232,0.003076923076923,0.445,0.3411538461538461,0.3634615384615384,30850,0.08427876823338736,-2.4736253053239605
air_fryers,2021,cosori,1084,10,97.42203791469193,4.67850553505535,0.988929889298893,0.0,0.0156826568265682,0.0119926199261992,0.0,30850,0.03513776337115073,-3.348478847333942
air_fryers,2021,cuisinart,2682,37,224.30121973094168,4.449962714392244,0.999254287844892,0.0,0.9228187919463088,0.0,0.0,30850,0.08693679092382496,-2.44257396549191
air_fryers,2021,dash,2556,32,57.73156237383932,4.5055946791862285,0.9992175273865416,0.0,0.9119718309859156,0.0,0.0,30850,0.08285251215559157,-2.4906932138361086
air_fryers,2021,gowise usa,3572,31,84.62934397163122,4.590257558790594,1.0,0.0,0.1738521836506159,0.1738521836506159,0.0,30850,0.11578606158833063,-2.156011087337144
air_fryers,2021,instant_pot,6172,47,113.63558060879367,4.597602073882047,0.9552819183408944,0.0,0.7112767336357745,0.1343162670123136,0.0,30850,0.200064829821718,-1.6091138158504823
air_fryers,2021,ninja,5625,44,166.6760309869931,4.725048888888889,0.9985777777777778,0.0021333333333333,0.1847111111111111,0.0,0.0,30850,0.18233387358184766,-1.7019158022609129
air_fryers,2021,nuwave,1570,17,136.03625405055087,4.42248407643312,0.9993630573248408,0.0,0.4159235668789809,0.0070063694267515,0.0,30850,0.05089141004862237,-2.97806113099118
air_fryers,2021,oster,741,9,184.615397260274,4.411201079622132,1.0,0.0,0.8987854251012146,0.0,0.0,30850,0.024019448946515396,-3.728891404037447
air_fryers,2021,ultrean,4248,7,76.79720311027332,4.687970809792843,1.0,0.0,0.8538135593220338,0.0,0.0,30850,0.13769854132901135,-1.982688466411759
air_fryers,2022,chefman,2752,16,98.43847667638484,4.452943313953488,0.9593023255813954,0.0345203488372093,0.4956395348837209,0.3713662790697674,0.4854651162790697,23576,0.1167288768238887,-2.1479013253642965
air_fryers,2022,cosori,1722,12,97.86638970157988,4.68472706155633,0.9988385598141696,0.0,0.0034843205574912,0.0011614401858304,0.0,23576,0.07304038004750593,-2.6167428394298544
air_fryers,2022,cuisinart,1817,42,223.5274607329843,4.413538800220143,0.9977985690698954,0.0,0.941662080352229,0.0,0.0,23576,0.07706990159484221,-2.5630424560213596
air_fryers,2022,dash,1196,23,57.15259983007647,4.497408026755853,0.9991638795986622,0.0,0.8085284280936454,0.0,0.0,23576,0.050729555480149305,-2.9812465899069536
air_fryers,2022,gowise usa,1373,29,86.31618125484121,4.595702840495266,1.0,0.0,0.1813546977421704,0.1813546977421704,0.0043699927166788,23576,0.0582371903630811,-2.8432311186495594
air_fryers,2022,instant_pot,6756,52,106.08015607401448,4.614165186500888,0.9496743635287151,0.0001480165778567,0.8146832445233866,0.1332149200710479,0.0041444641799881,23576,0.28656260604004075,-1.2497982464898398
air_fryers,2022,ninja,4693,61,156.37952836796634,4.730151289154059,0.9899850841679096,0.0070317494140208,0.1423396548050287,0.0,0.0,23576,0.19905836443841193,-1.614157208623113
air_fryers,2022,nuwave,813,24,144.98647655259822,4.363468634686347,0.997539975399754,0.02460024600246,0.6260762607626076,0.001230012300123,0.0,23576,0.034484221241940956,-3.36725341486972
air_fryers,2022,oster,618,9,191.48543089430893,4.369093851132686,1.0,0.0,0.9271844660194176,0.0,0.0,23576,0.02621309806582966,-3.64149606695984
air_fryers,2022,ultrean,1836,6,78.27407407407406,4.689814814814815,1.0,0.0,0.8464052287581699,0.0,0.0,23576,0.07787580590430947,-2.5526399532370947
air_fryers,2023,chefman,1178,12,93.77928632115548,4.437775891341256,0.8505942275042445,0.0297113752122241,0.5857385398981324,0.3853989813242784,0.4609507640067912,8400,0.14023809523809525,-1.964413620619873
air_fryers,2023,cosori,1070,9,100.41187206020696,4.674485981308411,1.0,0.0,0.0242990654205607,0.0009345794392523,0.0,8400,0.12738095238095237,-2.060573057375453
air_fryers,2023,cuisinart,467,28,214.52655860349125,4.389079229122056,0.9892933618843684,0.0,0.925053533190578,0.0,0.0,8400,0.05559523809523809,-2.8896577271625077
air_fryers,2023,dash,458,14,58.947921225382935,4.49825327510917,1.0,0.0,0.7903930131004366,0.0,0.0,8400,0.05452380952380952,-2.9091178007172203
air_fryers,2023,gowise usa,448,22,95.79993071593536,4.567410714285715,1.0,0.0,0.2455357142857142,0.2455357142857142,0.0022321428571428,8400,0.05333333333333334,-2.9311937524164198
air_fryers,2023,instant_pot,1924,31,104.523299734748,4.6248960498960505,0.9287941787941788,0.0,0.8035343035343036,0.1356548856548856,0.0109147609147609,8400,0.22904761904761906,-1.473825353605753
air_fryers,2023,ninja,1832,55,151.0531762652705,4.723144104803493,0.9929039301310044,0.0032751091703056,0.1424672489082969,0.0,0.0,8400,0.2180952380952381,-1.5228234395973295
air_fryers,2023,nuwave,470,21,133.09646680942186,4.394255319148937,0.9893617021276596,0.0085106382978723,0.7893617021276595,0.0,0.0,8400,0.055952380952380955,-2.883254290127301
air_fryers,2023,oster,220,10,191.5157276995305,4.3968181818181815,1.0,0.0,0.8454545454545455,0.0,0.0,8400,0.02619047619047619,-3.6423594384790436
air_fryers,2023,ultrean,333,6,78.03675675675676,4.6867867867867865,1.0,0.0,0.7747747747747747,0.0,0.0,8400,0.03964285714285714,-3.2278444948509613
